Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-11-17,28.5593,28.9755,28.3594,28.6091,151368.53598687
2023-11-20,28.5925,29.3919,28.5593,29.192,211512.89024961
2023-11-21,29.2753,29.4417,29.0255,29.0754,172748.97838843
2023-11-22,29.1421,29.3586,28.9256,29.1421,161048.70483063
2023-11-23,29.2753,29.2753,28.0263,28.5259,263718.54524966
2023-11-24,28.5259,28.8423,28.3761,28.6591,129452.44156244
2023-11-27,28.6091,28.8257,28.2595,28.3927,108228.13091643
2023-11-28,28.4259,28.5259,28.2595,28.3927,114710.00079853
2023-11-29,28.476,28.5425,27.9098,28.2262,211932.04396257
2023-11-30,28.3093,28.476,27.4768,27.7432,378446.56125076
2023-12-01,27.9265,28.7924,27.6766,28.4259,274706.61779949
2023-12-04,28.4259,29.0754,28.2262,28.9755,327807.02786017
2023-12-05,28.9755,29.2753,28.7424,28.9755,246517.62984268
2023-12-06,29.0921,29.2087,28.3093,28.5593,255348.68213899
2023-12-07,28.7924,28.7924,28.2095,28.3594,186952.16408896
2023-12-08,28.3594,29.2586,28.3594,29.2253,219823.9036986
2023-12-11,29.3086,30.2911,29.2586,29.6416,390835.01554647
2023-12-12,29.8581,30.0079,29.2586,29.3919,131775.20167955
2023-12-13,29.4751,29.7582,29.3252,29.6916,115933.8335593
2023-12-14,29.7748,30.7573,29.7748,30.4576,346941.57500889
2023-12-15,30.6242,31.4568,30.4742,30.6741,504050.95554578
2023-12-18,30.7074,31.3568,30.4908,30.6408,287102.27817622
2023-12-19,30.6575,31.3902,30.5908,31.3402,387910.54766376
2023-12-20,31.3902,32.3394,31.307,32.0563,541372.45018844
2023-12-21,32.0563,32.4226,31.69,32.3227,238195.80727217
2023-12-22,32.4393,32.4393,31.69,32.023,189316.95967871
2023-12-27,32.0563,32.4226,31.7232,31.9897,396292.42090949
2023-12-28,32.1229,32.5725,31.69,31.9897,211156.18923887
2023-12-29,32.1562,32.306,31.4901,31.4901,412102.56267864
2024-01-02,31.7232,32.0563,31.2569,31.9397,296900.14634339
2024-01-03,31.9563,32.0396,30.4908,30.7408,327098.42989269
2024-01-04,30.8073,31.3568,30.6907,31.0904,143326.54956283
2024-01-05,31.1071,31.7065,30.6074,31.59,222936.93070145
2024-01-08,31.7565,32.8556,31.6399,32.6557,565620.91283799
2024-01-09,33.3052,33.3885,32.6225,32.8389,378079.05111848
2024-01-10,32.8389,33.172,32.0563,32.0563,241134.68731691
2024-01-11,32.3561,32.5725,31.69,32.0895,235760.15188567
2024-01-12,32.2561,32.7224,32.0895,32.2395,132593.09187589
2024-01-15,32.406,32.7889,32.0729,32.306,173142.9108178
2024-01-16,32.306,32.7723,32.1062,32.739,167845.24025082
2024-01-17,32.639,32.6723,31.69,31.9897,321069.34210167
2024-01-18,32.3561,32.7224,32.0396,32.5392,171527.54765467
2024-01-19,32.6058,32.8556,32.306,32.3726,189946.2907549
2024-01-22,32.4726,32.7058,32.2061,32.3227,129910.02770754
2024-01-23,32.3893,32.4892,31.9563,32.3227,126508.75746368
2024-01-24,32.3394,33.3719,32.1562,33.1054,369216.77247108
2024-01-25,33.2886,33.4884,32.6058,32.7556,179419.4073907
2024-01-26,32.7224,32.9555,32.3726,32.7058,161758.5038116
2024-01-29,32.8057,33.0887,32.7224,32.8389,120938.45683125
2024-01-30,32.7224,33.0721,32.6723,32.8057,192337.50864174
2024-01-31,35.137,37.8347,35.1203,37.6016,1900348.0545016
2024-02-01,37.4683,37.8014,36.8356,37.5516,449878.04042587
2024-02-02,37.6016,38.967,37.5516,38.0511,404392.05598174
2024-02-05,38.0511,39.2335,37.8514,38.9504,404591.42422344
2024-02-06,35.3867,36.1861,35.0871,35.7365,3173609.7270478
2024-02-07,35.853,36.3027,35.4368,35.8864,574642.92628146
2024-02-08,35.8864,36.0529,35.52,35.6865,603093.73518218
2024-02-09,35.7865,35.8364,35.1703,35.3702,531538.55161614
2024-02-12,35.3867,35.7865,35.0704,35.5699,402737.05937297
2024-02-13,35.5699,35.8198,35.1536,35.2203,321105.37250679
2024-02-14,35.3369,35.9197,35.3035,35.8864,783239.7557429
2024-02-15,36.0196,38.1344,35.9862,38.1344,1093104.842864
2024-02-16,38.2177,39.1337,37.7348,38.9838,710833.0536024
2024-02-19,39.0503,39.7831,38.8172,39.3168,435082.75506777
2024-02-20,39.4001,39.7331,39.0836,39.2002,277228.74615829
2024-02-21,39.2002,39.4833,38.5508,38.6507,237459.58599409
2024-02-22,39.1004,39.2002,37.6682,38.8006,624130.68772154
2024-02-23,38.7839,39.0503,38.4675,38.7006,311398.78136594
2024-02-26,38.7173,39.5166,38.7006,39.0836,252153.98621784
2024-02-27,39.0503,39.7997,38.8339,39.6498,326619.22550452
2024-02-28,39.55,40.5491,39.55,39.7997,292942.80684708
2024-02-29,39.5833,40.9487,39.5833,40.1495,620007.60836166
2024-03-01,40.1495,41.1986,40.0495,41.0653,299219.30341997
2024-03-04,41.2151,41.6315,40.5158,41.2151,346421.53616159
2024-03-05,41.1819,42.6306,40.7988,42.1727,486303.5789944
2024-03-06,42.4225,43.2551,41.9645,43.0887,443674.80567674
2024-03-07,43.0887,43.6714,42.1311,43.4217,418661.29742501
2024-03-08,43.4634,43.9628,43.1302,43.5465,214605.5000229
2024-03-11,43.6298,43.9212,42.1727,42.7139,300852.68178567
2024-03-12,42.8805,44.3792,42.7139,44.0461,270112.74114596
2024-03-13,44.171,45.2951,43.8796,44.0461,453746.50492286
2024-03-14,44.2127,45.3368,44.1295,45.0037,236138.47113949
2024-03-15,45.2118,46.1277,45.0868,45.7947,1436484.2118195
2024-03-18,45.7947,46.1277,44.4624,44.5457,279818.13127331
2024-03-19,44.5457,45.2951,43.5881,45.2535,299600.02470079
2024-03-20,45.2118,45.2118,43.9628,43.9628,157412.03593995
2024-03-21,44.5041,44.7954,44.1295,44.4624,307081.13781839
2024-03-22,44.7539,45.1285,44.4208,44.8788,175136.59323476
2024-03-25,44.8788,45.3368,44.5457,44.8371,177865.29591628
2024-03-26,44.8788,45.3368,44.6706,45.2535,157803.56634231
2024-03-27,45.3368,47.5431,45.2118,47.5431,616177.57629681
2024-03-28,47.793,48.126,45.5448,45.5448,374988.8433722
2024-04-02,46.0444,48.4591,46.0444,47.2767,432152.28211756
2024-04-03,47.5932,47.7263,46.7105,47.0436,177789.63206551
2024-04-04,47.0436,49.4249,47.0103,48.0927,790509.49048376
2024-04-05,47.8263,48.6922,46.9937,47.4599,314651.12593529
2024-04-08,47.6931,48.2593,47.2767,47.3433,149607.85018972
2024-04-09,47.4599,47.9428,46.7606,47.027,254193.30714795
2024-04-10,47.4266,48.6256,47.31,48.1926,475332.32063363
2024-04-11,48.3425,48.6588,47.41,47.41,186684.33807753
2024-04-12,47.7263,48.8754,47.5099,48.6922,400594.4512815
2024-04-15,48.5589,50.5073,48.4591,50.1244,345340.62400782
2024-04-16,50.1742,50.2575,48.9586,49.1918,357910.43134264
2024-04-17,49.5415,50.7738,49.3749,50.2908,298419.42842618
2024-04-18,50.4574,51.1568,49.1251,50.9569,389715.67096056
2024-04-19,50.7571,51.6231,48.6256,48.7921,442876.13169645
2024-04-22,48.7921,49.7414,47.8596,49.225,350662.31484487
2024-04-23,49.4249,50.9569,49.1418,50.8071,374200.97851345
2024-04-24,51.1068,51.8728,50.9236,51.1568,314038.60904815
2024-04-25,50.8071,51.5564,50.6239,51.4566,278636.33398519
2024-04-26,51.4566,52.3225,51.29,52.2725,305183.53648177
2024-04-29,52.4223,53.6214,51.5065,51.8728,404489.33807558
2024-04-30,51.723,53.2883,50.8237,52.9387,545700.90285753
2024-05-02,52.4891,52.9387,49.8746,50.1742,780261.24225252
2024-05-06,50.7905,54.3208,50.7905,54.3208,660317.22460273
2024-05-07,54.404,55.6031,54.0543,55.0369,413745.54915236
2024-05-08,55.1202,55.9694,54.2209,55.7862,414948.96468356
2024-05-09,55.9528,56.419,55.4364,56.2191,186896.91746777
2024-05-10,56.2358,56.3191,54.7371,55.5698,416352.94946995
2024-05-13,55.5364,57.0019,55.4865,56.9852,264243.388151
2024-05-14,57.0685,57.9344,56.469,57.4515,384733.86694519
2024-05-15,57.4681,59.3666,57.4515,59.3666,464215.73963887
2024-05-16,59.5164,59.9494,58.7503,59.1167,314359.27965377
2024-05-17,59.4498,59.9494,58.1841,59.9494,251420.16696678
2024-05-20,59.9494,60.9318,59.6163,60.8653,319368.70697974
2024-05-21,60.782,62.0809,60.3324,60.7487,520755.85237554
2024-05-22,60.7654,61.8644,60.3824,61.6646,363247.73535526
2024-05-23,61.9476,63.1799,61.5646,62.4473,290501.14639306
2024-05-24,62.4473,62.8801,61.9476,62.5138,286163.08561594
2024-05-27,62.747,62.9136,61.0318,61.6979,315475.02119916
2024-05-28,62.0309,62.1975,59.6828,59.9494,443756.47459502
2024-05-29,59.1167,60.0992,57.8511,58.9668,551370.8876108
2024-05-31,59.7734,62.1751,58.8772,59.2357,1119520.9493743
2024-06-03,59.1461,60.9384,57.6227,58.9489,667407.27775976
2024-06-04,58.9668,59.3791,56.3501,57.6227,514339.65667218
2024-06-05,57.8018,59.4149,56.9057,59.3253,483867.1798062
2024-06-06,59.5942,59.863,57.9094,58.5367,395382.28433365
2024-06-07,58.7339,59.397,58.3395,59.1461,191247.48764571
2024-06-10,59.0565,59.6838,58.6084,59.1461,168110.81211696
2024-06-11,59.1461,61.1894,59.1461,60.1856,356492.71749404
2024-06-12,60.1856,61.5657,59.2716,61.4582,399574.64904676
2024-06-13,61.4223,61.4761,60.2931,60.7054,298635.40633892
2024-06-14,60.7054,60.795,58.4112,59.6479,245655.61079758
2024-06-17,59.6479,61.2431,59.6479,60.9922,236518.77761395
2024-06-18,61.0638,64.1466,61.0638,63.6269,384024.84806802
2024-06-19,63.6269,64.8277,63.2684,64.3975,187326.28200242
2024-06-20,64.523,65.7059,63.1071,63.4835,357863.01929539
2024-06-21,63.6269,64.6664,63.2146,63.7344,245908.91577226
2024-06-24,63.4656,64.3975,61.7091,64.0391,249824.54201083
2024-06-25,64.1646,64.4872,63.4835,63.7165,162222.30836635
2024-06-26,63.8061,64.0391,61.9779,62.5336,225733.78827348
2024-06-27,62.5873,64.4334,62.4797,64.4334,326111.74286561
2024-06-28,64.523,64.9173,63.6089,64.2004,236736.37439837
2024-07-01,64.5409,65.4908,63.4835,63.8061,371070.58616905
2024-07-02,63.9853,64.3438,63.1071,63.6269,185220.61465783
2024-07-03,63.7165,63.7882,61.9241,61.9241,299338.41133473
2024-07-04,61.8166,62.4439,60.0422,62.193,360492.03480353
2024-07-05,62.4081,63.143,61.9241,62.5156,154093.11567671
2024-07-08,62.6232,63.1788,62.0138,63.1788,128687.85418529
2024-07-09,63.5372,64.6843,62.8204,64.6664,215061.50290852
2024-07-10,64.6664,65.1503,63.6448,64.9173,202671.87676809
2024-07-11,65.0607,65.0966,63.5551,64.4693,139176.0191942
2024-07-12,64.4693,65.3654,63.7523,65.0428,181662.0703219
