spolka,miesiac,odchylenie_standardowe,dni,pierwsza_cena,ostatnia_cena,zmiana_caly_okres
CBF.WA,2024-11,3.9145458843735463,19,75.5999984741211,197.3999938964844,161.11110830783562
SNT.WA,2025-06,4.086839347653686,20,70.80000305175781,331.79998779296875,368.644030354644
XTB.WA,2025-01,3.7011990688949696,21,37.93999862670898,143.32000732421875,277.7543819501469
