data,cena,spolka,zmiana_proc,max_zmienny_miesiac
2023-08-14 17:00:00,75.5999984741211,CBF.WA,,2023-08
2023-08-16 17:00:00,77.0,CBF.WA,1.851853907587242,2023-08
2023-08-17 17:00:00,76.0,CBF.WA,-1.2987012987012991,2023-08
2023-08-18 17:00:00,76.5999984741211,CBF.WA,0.7894716764751175,2023-08
2023-08-21 17:00:00,78.0,CBF.WA,1.827678268625399,2023-08
2023-08-22 17:00:00,77.0,CBF.WA,-1.2820512820512775,2023-08
2023-08-23 17:00:00,76.4000015258789,CBF.WA,-0.7792187975598663,2023-08
2023-08-24 17:00:00,75.0,CBF.WA,-1.8324626936096156,2023-08
2023-08-25 17:00:00,74.80000305175781,CBF.WA,-0.2666625976562531,2023-08
2023-08-28 17:00:00,71.4000015258789,CBF.WA,-4.545456399949977,2023-08
2023-08-29 17:00:00,74.4000015258789,CBF.WA,4.201680582475409,2023-08
2023-08-30 17:00:00,72.4000015258789,CBF.WA,-2.688171987878696,2023-08
2023-08-31 17:00:00,70.0,CBF.WA,-3.3149191647752096,2023-08
2023-09-01 17:00:00,71.80000305175781,CBF.WA,2.5714329310825956,2023-09
2023-09-04 17:00:00,73.19999694824219,CBF.WA,1.9498521406401181,2023-09
2023-09-05 17:00:00,80.4000015258789,CBF.WA,9.836072237445116,2023-09
2023-09-06 17:00:00,81.4000015258789,CBF.WA,1.2437810709221564,2023-09
2023-09-07 17:00:00,81.0,CBF.WA,-0.49140235673305055,2023-09
2023-09-08 17:00:00,81.0,CBF.WA,0.0,2023-09
2023-09-11 17:00:00,80.0,CBF.WA,-1.2345679012345734,2023-09
2023-09-12 17:00:00,79.80000305175781,CBF.WA,-0.2499961853027366,2023-09
2023-09-13 17:00:00,80.5999984741211,CBF.WA,1.0025004909390844,2023-09
2023-09-14 17:00:00,80.19999694824219,CBF.WA,-0.4962798181780803,2023-09
2023-09-15 17:00:00,80.19999694824219,CBF.WA,0.0,2023-09
2023-09-18 17:00:00,79.0,CBF.WA,-1.496255603371921,2023-09
2023-09-19 17:00:00,81.19999694824219,CBF.WA,2.7848062635977167,2023-09
2023-09-20 17:00:00,80.0,CBF.WA,-1.4778288095344094,2023-09
2023-09-21 17:00:00,79.4000015258789,CBF.WA,-0.7499980926513716,2023-09
2023-09-22 17:00:00,80.4000015258789,CBF.WA,1.2594458196251601,2023-09
2023-09-25 17:00:00,80.0,CBF.WA,-0.4975143262281545,2023-09
2023-09-26 17:00:00,79.0,CBF.WA,-1.2499999999999956,2023-09
2023-09-27 17:00:00,80.5999984741211,CBF.WA,2.025314524203914,2023-09
2023-09-28 17:00:00,78.0,CBF.WA,-3.225804619532213,2023-09
2023-09-29 17:00:00,79.19999694824219,CBF.WA,1.5384576259515281,2023-09
2023-10-02 17:00:00,79.0,CBF.WA,-0.2525214090259187,2023-10
2023-10-03 17:00:00,79.0,CBF.WA,0.0,2023-10
2023-10-04 17:00:00,79.80000305175781,CBF.WA,1.0126620908326833,2023-10
2023-10-05 17:00:00,79.5999984741211,CBF.WA,-0.25063229321807823,2023-10
2023-10-06 17:00:00,80.0,CBF.WA,0.5025144893802347,2023-10
2023-10-09 17:00:00,79.4000015258789,CBF.WA,-0.7499980926513716,2023-10
2023-10-10 17:00:00,79.80000305175781,CBF.WA,0.5037802496118848,2023-10
2023-10-11 17:00:00,79.0,CBF.WA,-1.002510051583505,2023-10
2023-10-12 17:00:00,78.80000305175781,CBF.WA,-0.25316069397745,2023-10
2023-10-13 17:00:00,78.80000305175781,CBF.WA,0.0,2023-10
2023-10-16 17:00:00,78.80000305175781,CBF.WA,0.0,2023-10
2023-10-17 17:00:00,79.80000305175781,CBF.WA,1.2690354838478468,2023-10
2023-10-18 17:00:00,80.80000305175781,CBF.WA,1.2531327841571738,2023-10
2023-10-19 17:00:00,79.5999984741211,CBF.WA,-1.4851541241502675,2023-10
2023-10-20 17:00:00,78.4000015258789,CBF.WA,-1.5075338834740326,2023-10
2023-10-23 17:00:00,78.0,CBF.WA,-0.5102060179767554,2023-10
2023-10-24 17:00:00,77.0,CBF.WA,-1.2820512820512775,2023-10
2023-10-25 17:00:00,77.80000305175781,CBF.WA,1.0389650022828656,2023-10
2023-10-26 17:00:00,73.5999984741211,CBF.WA,-5.398463255640995,2023-10
2023-10-27 17:00:00,75.4000015258789,CBF.WA,2.4456563710265833,2023-10
2023-10-30 17:00:00,76.4000015258789,CBF.WA,1.326259920109929,2023-10
2023-10-31 17:00:00,76.80000305175781,CBF.WA,0.5235621961910741,2023-10
2023-11-02 17:00:00,76.19999694824219,CBF.WA,-0.7812579162415734,2023-11
2023-11-03 17:00:00,74.4000015258789,CBF.WA,-2.3621988116166226,2023-11
2023-11-06 17:00:00,76.0,CBF.WA,2.1505355393904857,2023-11
2023-11-07 17:00:00,79.4000015258789,CBF.WA,4.473686218261719,2023-11
2023-11-08 17:00:00,76.0,CBF.WA,-4.282117708487377,2023-11
2023-11-09 17:00:00,79.0,CBF.WA,3.9473684210526327,2023-11
2023-11-10 17:00:00,79.4000015258789,CBF.WA,0.5063310454163306,2023-11
2023-11-13 17:00:00,81.0,CBF.WA,2.0151113896384576,2023-11
2023-11-14 17:00:00,83.4000015258789,CBF.WA,2.9629648467640823,2023-11
2023-11-15 17:00:00,84.0,CBF.WA,0.7194226176781449,2023-11
2023-11-16 17:00:00,82.4000015258789,CBF.WA,-1.904760088239399,2023-11
2023-11-17 17:00:00,81.4000015258789,CBF.WA,-1.2135922105364738,2023-11
2023-11-20 17:00:00,81.19999694824219,CBF.WA,-0.24570586472670852,2023-11
2023-11-21 17:00:00,82.4000015258789,CBF.WA,1.4778382053408423,2023-11
2023-11-22 17:00:00,82.0,CBF.WA,-0.48543873600934706,2023-11
2023-11-23 17:00:00,83.0,CBF.WA,1.2195121951219523,2023-11
2023-11-24 17:00:00,83.0,CBF.WA,0.0,2023-11
2023-11-27 17:00:00,81.19999694824219,CBF.WA,-2.168678375611821,2023-11
2023-11-28 17:00:00,81.80000305175781,CBF.WA,0.738923800573632,2023-11
2023-11-29 17:00:00,85.0,CBF.WA,3.9119765633962578,2023-11
2023-11-30 17:00:00,88.0,CBF.WA,3.529411764705892,2023-11
2023-12-01 17:00:00,89.5999984741211,CBF.WA,1.8181800842285156,2023-12
2023-12-04 17:00:00,88.0,CBF.WA,-1.7857126131349377,2023-12
2023-12-05 17:00:00,88.4000015258789,CBF.WA,0.4545471884987551,2023-12
2023-12-06 17:00:00,89.0,CBF.WA,0.6787312938512091,2023-12
2023-12-07 17:00:00,88.0,CBF.WA,-1.1235955056179803,2023-12
2023-12-08 17:00:00,88.19999694824219,CBF.WA,0.22726925936611408,2023-12
2023-12-11 17:00:00,88.0,CBF.WA,-0.22675391741742157,2023-12
2023-12-12 17:00:00,88.4000015258789,CBF.WA,0.4545471884987551,2023-12
2023-12-13 17:00:00,92.8000030517578,CBF.WA,4.977377205803335,2023-12
2023-12-14 17:00:00,93.0,CBF.WA,0.21551394575995975,2023-12
2023-12-15 17:00:00,96.5999984741211,CBF.WA,3.8709661012054752,2023-12
2023-12-18 17:00:00,97.0,CBF.WA,0.41408026107376816,2023-12
2023-12-19 17:00:00,96.8000030517578,CBF.WA,-0.20618242086825056,2023-12
